"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","391","should correctly handle a sequence of increments and decrements","chromium","Thu Jul 03 22:15:12 CEST 2025","passed","Thu Jul 03 22:15:13 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","5290","should have correct ARIA attributes for screen readers","chromium","Thu Jul 03 22:15:12 CEST 2025","failed","Thu Jul 03 22:15:18 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","248","should be laid out correctly on a mobile viewport","chromium","Thu Jul 03 22:15:13 CEST 2025","passed","Thu Jul 03 22:15:13 CEST 2025","Counter Application - Visual & Responsive","","",""
"","688","should increment the counter to 1 when Increment is clicked","chromium","Thu Jul 03 22:15:11 CEST 2025","passed","Thu Jul 03 22:15:12 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","5707","should not allow the counter to go below 0","webkit","Thu Jul 03 22:15:24 CEST 2025","failed","Thu Jul 03 22:15:29 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","464","should correctly handle a sequence of increments and decrements","webkit","Thu Jul 03 22:15:24 CEST 2025","passed","Thu Jul 03 22:15:24 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","400","should decrement the counter correctly from a positive number","webkit","Thu Jul 03 22:15:23 CEST 2025","passed","Thu Jul 03 22:15:23 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","924","should display 0 on initial load","firefox","Thu Jul 03 22:15:14 CEST 2025","passed","Thu Jul 03 22:15:15 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","527","should handle rapid-fire clicks correctly","firefox","Thu Jul 03 22:15:18 CEST 2025","passed","Thu Jul 03 22:15:18 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","335","should increment the counter to 1 when Increment is clicked","webkit","Thu Jul 03 22:15:22 CEST 2025","passed","Thu Jul 03 22:15:23 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","5586","should be fully operable using the keyboard","webkit","Thu Jul 03 22:15:25 CEST 2025","failed","Thu Jul 03 22:15:31 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","379","should match the visual snapshot on initial load","firefox","Thu Jul 03 22:15:19 CEST 2025","passed","Thu Jul 03 22:15:19 CEST 2025","Counter Application - Visual & Responsive","","",""
"","663","should display 0 on initial load","webkit","Thu Jul 03 22:15:21 CEST 2025","passed","Thu Jul 03 22:15:22 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","292","should match the visual snapshot on initial load","chromium","Thu Jul 03 22:15:13 CEST 2025","passed","Thu Jul 03 22:15:13 CEST 2025","Counter Application - Visual & Responsive","","",""
"","460","should decrement the counter correctly from a positive number","firefox","Thu Jul 03 22:15:17 CEST 2025","passed","Thu Jul 03 22:15:18 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","338","should handle rapid-fire clicks correctly","chromium","Thu Jul 03 22:15:12 CEST 2025","passed","Thu Jul 03 22:15:12 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","451","should handle multiple increments","webkit","Thu Jul 03 22:15:23 CEST 2025","passed","Thu Jul 03 22:15:24 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","476","should correctly handle a sequence of increments and decrements","firefox","Thu Jul 03 22:15:18 CEST 2025","passed","Thu Jul 03 22:15:19 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","462","should handle multiple increments","firefox","Thu Jul 03 22:15:18 CEST 2025","passed","Thu Jul 03 22:15:18 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","307","should be laid out correctly on a mobile viewport","firefox","Thu Jul 03 22:15:19 CEST 2025","passed","Thu Jul 03 22:15:20 CEST 2025","Counter Application - Visual & Responsive","","",""
"","595","should display 0 on initial load","chromium","Thu Jul 03 22:15:11 CEST 2025","passed","Thu Jul 03 22:15:12 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","669","should reset to 0 on page reload","webkit","Thu Jul 03 22:15:31 CEST 2025","passed","Thu Jul 03 22:15:31 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","921","should handle multiple increments","chromium","Thu Jul 03 22:15:11 CEST 2025","passed","Thu Jul 03 22:15:12 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","957","should increment the counter to 1 when Increment is clicked","firefox","Thu Jul 03 22:15:14 CEST 2025","passed","Thu Jul 03 22:15:15 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","494","should handle rapid-fire clicks correctly","webkit","Thu Jul 03 22:15:24 CEST 2025","passed","Thu Jul 03 22:15:24 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","670","should match the visual snapshot on initial load","webkit","Thu Jul 03 22:15:31 CEST 2025","passed","Thu Jul 03 22:15:32 CEST 2025","Counter Application - Visual & Responsive","","",""
"","237","should be fully operable using the keyboard","chromium","Thu Jul 03 22:15:12 CEST 2025","passed","Thu Jul 03 22:15:13 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","300","should be fully operable using the keyboard","firefox","Thu Jul 03 22:15:18 CEST 2025","passed","Thu Jul 03 22:15:18 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","5317","should have correct ARIA attributes for screen readers","webkit","Thu Jul 03 22:15:24 CEST 2025","failed","Thu Jul 03 22:15:30 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","398","should be laid out correctly on a mobile viewport","webkit","Thu Jul 03 22:15:32 CEST 2025","passed","Thu Jul 03 22:15:32 CEST 2025","Counter Application - Visual & Responsive","","",""
"","6244","should not allow the counter to go below 0","firefox","Thu Jul 03 22:15:14 CEST 2025","failed","Thu Jul 03 22:15:20 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","809","should decrement the counter correctly from a positive number","chromium","Thu Jul 03 22:15:11 CEST 2025","passed","Thu Jul 03 22:15:12 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","5807","should not allow the counter to go below 0","chromium","Thu Jul 03 22:15:11 CEST 2025","failed","Thu Jul 03 22:15:17 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","543","should reset to 0 on page reload","firefox","Thu Jul 03 22:15:19 CEST 2025","passed","Thu Jul 03 22:15:19 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","5493","should have correct ARIA attributes for screen readers","firefox","Thu Jul 03 22:15:18 CEST 2025","failed","Thu Jul 03 22:15:24 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","302","should reset to 0 on page reload","chromium","Thu Jul 03 22:15:12 CEST 2025","passed","Thu Jul 03 22:15:13 CEST 2025","Counter Application - Functional & Accessibility","","",""
